There are 750 points in the set: 
[6302181, 2705367]
[9491875, 9190627]
[9970064, 1426318]
[5413284, 2942917]
[6227320, 3537514]
[4129511, 4170645]
[9624788, 2789310]
[6600917, 7875555]
[5998633, 207102]
[8721411, 9127796]
[5981330, 9864179]
[1109416, 8914635]
[876233, 4715941]
[8055703, 1780564]
[881261, 5867840]
[3356550, 6651597]
[6325718, 4959705]
[3530708, 706978]
[4240678, 7205173]
[1432857, 5210405]
[6780295, 6782456]
[5119266, 8251849]
[5274908, 608681]
[9135224, 4334700]
[8140946, 2465783]
[7769344, 934325]
[9553526, 1142979]
[1938582, 5832387]
[9639489, 5955482]
[4543695, 1472375]
[4810543, 7957375]
[6805107, 34466]
[3302210, 2559451]
[1752835, 9965839]
[2742384, 2407137]
[669972, 8870388]
[4019656, 2185818]
[3959584, 2586842]
[1115377, 6526383]
[9442689, 2075557]
[2955605, 9104582]
[6523583, 6529083]
[6251452, 2281149]
[7203755, 4076797]
[1331896, 9713793]
[1019875, 7583041]
[7222482, 2913772]
[6342883, 9511073]
[7803990, 9559137]
[6730142, 7959539]
[6981122, 98483]
[5152424, 2434825]
[9420182, 7469310]
[1994811, 1493065]
[2913202, 73861]
[6556587, 2523768]
[2032569, 1429726]
[3375923, 9432961]
[4252278, 7526107]
[1742195, 1961745]
[2009389, 7032961]
[773881, 4222806]
[976089, 780790]
[6475003, 8826016]
[8470682, 1839451]
[1755435, 6497241]
[7710937, 3181291]
[6640314, 1726830]
[7227221, 9269669]
[9326630, 4499769]
[8896210, 3037689]
[2003655, 6952020]
[1331665, 8038291]
[1191504, 6548804]
[8663951, 4477727]
[4620995, 9435691]
[7217314, 3151742]
[5810985, 6421395]
[4597756, 5626845]
[1201413, 4505755]
[8051868, 222151]
[4600780, 4064317]
[1146472, 3741533]
[6883435, 994702]
[4596625, 2219119]
[6201416, 8994808]
[2752757, 2286390]
[522055, 4161338]
[8140314, 4306491]
[8670363, 5164361]
[4287049, 1055331]
[3436794, 8319246]
[9750110, 7122434]
[5447298, 4094908]
[7085729, 3949314]
[7155275, 863108]
[3713465, 7627432]
[2635801, 9479032]
[5267345, 2806332]
[4533362, 6910782]
[4793459, 8398094]
[2803021, 9145341]
[4135428, 2784839]
[9308657, 3548125]
[5692025, 5792293]
[5057112, 2705900]
[9247204, 1741152]
[5175137, 4534049]
[1697980, 2952665]
[9212057, 5251549]
[1544682, 5918941]
[5915368, 6266040]
[972719, 9178390]
[9222441, 954309]
[5946058, 2312132]
[5836185, 7561307]
[7432770, 7800587]
[3505489, 8358160]
[9705214, 40546]
[1316902, 4583694]
[16076, 4546697]
[3233910, 2367552]
[3669224, 8933523]
[4903626, 9963017]
[7048908, 4448290]
[7080531, 8595218]
[6666609, 3810036]
[7609598, 3003617]
[2546431, 8655300]
[9586073, 6980954]
[3491564, 2502243]
[4094635, 3083903]
[4058184, 7639887]
[4354087, 3789448]
[9039504, 2687809]
[4676673, 5526171]
[7408725, 2953624]
[7906075, 7451900]
[7676382, 9167760]
[3085865, 9384096]
[4555727, 4400792]
[7845851, 1789372]
[2718494, 2987754]
[3354001, 5617804]
[545515, 8049526]
[15402, 4657659]
[8431265, 3795106]
[667117, 8934281]
[4567687, 7164124]
[3812039, 2851826]
[9453496, 279056]
[6150507, 2009636]
[9261407, 5308831]
[2524080, 1105645]
[9599025, 781403]
[9296775, 8666260]
[8738379, 8073279]
[654631, 891617]
[7364518, 3040996]
[9311478, 1781027]
[3697573, 593869]
[9057156, 9813680]
[8833290, 6885974]
[6410998, 6244369]
[9477549, 8812233]
[6486739, 136559]
[5680261, 3916602]
[7234145, 4306293]
[581373, 1536342]
[5051698, 3464793]
[4489796, 556168]
[4695691, 4286283]
[486466, 1896856]
[4242476, 2857716]
[552317, 5132441]
[9229226, 3687442]
[3349318, 6716960]
[4051897, 8193492]
[2936083, 6499622]
[4183480, 102849]
[4616908, 8336538]
[8019885, 6602824]
[6200750, 7333331]
[3828242, 3269845]
[9697590, 3094799]
[422422, 9566632]
[3204939, 5174247]
[706307, 4379069]
[1830917, 5930789]
[4244951, 2053048]
[8221166, 5297385]
[1019487, 3427059]
[9130064, 8553351]
[6763391, 7817841]
[8969430, 1826185]
[7843375, 6398176]
[3786252, 8088811]
[8849560, 1559919]
[9993666, 4443174]
[3819155, 91551]
[1128508, 2722522]
[7917999, 5653954]
[1147255, 9947090]
[6305632, 835056]
[7519029, 7232254]
[1557191, 6329036]
[1262692, 6174787]
[9588217, 5130350]
[2084109, 7367213]
[4813811, 1266917]
[228459, 3537942]
[4211504, 4067320]
[9342115, 1519529]
[6358159, 3164613]
[8856280, 7666353]
[245267, 803452]
[5467498, 612873]
[3095780, 8495013]
[1823818, 4531015]
[5976345, 4925829]
[6741056, 8501890]
[2438522, 8442315]
[9669649, 7027933]
[220587, 4579894]
[3130969, 6869525]
[5255602, 8904542]
[8631098, 7831485]
[9158701, 8577633]
[5078242, 8704374]
[4443581, 3774513]
[5772778, 2760730]
[2337539, 6346030]
[7418009, 4884162]
[7488788, 712418]
[8089963, 8165693]
[6296652, 9562707]
[5163108, 4611031]
[3314545, 6093055]
[3688940, 2869923]
[4419415, 3718592]
[5852389, 3495314]
[7260724, 1068532]
[2162458, 8538104]
[764292, 6835093]
[1396496, 6508397]
[9573783, 7496643]
[8502877, 7066322]
[9670564, 994826]
[8966963, 9504724]
[5210779, 4955055]
[9660801, 8880532]
[5465179, 8506073]
[4304721, 2254669]
[4886268, 663389]
[6128557, 4037598]
[9643502, 463095]
[8034127, 179938]
[9131743, 6808454]
[4018612, 5701283]
[1280804, 2616821]
[9591464, 4714909]
[6605407, 4654115]
[2786024, 5467547]
[9349990, 9192479]
[6213926, 5439265]
[9464092, 9075148]
[1119295, 3171224]
[820274, 3443879]
[1066435, 5620449]
[6005044, 7813669]
[740038, 6093331]
[5888347, 7873836]
[4024109, 6039033]
[3570983, 5574065]
[2203546, 6141522]
[7375406, 6339112]
[2391287, 3178738]
[1315089, 7573833]
[4630714, 42052]
[9646963, 4389791]
[9208176, 2168605]
[8076326, 4535156]
[9767920, 8252467]
[9935058, 7808878]
[756006, 5131516]
[1109119, 8102173]
[8510739, 9366597]
[7177590, 760675]
[2881331, 7469054]
[7719920, 9025137]
[6524292, 907253]
[7595315, 165098]
[2367026, 8768766]
[4698173, 6546811]
[3507585, 3717003]
[232200, 8065958]
[8297821, 5618630]
[7162531, 7548065]
[8896127, 2466624]
[9648490, 5031391]
[5069405, 5222948]
[8684889, 6717423]
[2108390, 795428]
[6979707, 5257851]
[6402996, 4706097]
[9313695, 4053424]
[1157643, 8498087]
[8396569, 126307]
[5639385, 7761157]
[6134991, 2116877]
[8272562, 5432132]
[1878277, 7300437]
[662707, 4992612]
[8863374, 7919162]
[2808570, 5565722]
[488803, 7817160]
[6342843, 432440]
[6937806, 1628615]
[6970527, 2825867]
[4561745, 2924011]
[46657, 8314806]
[9236644, 57313]
[1531813, 5722202]
[9679806, 2266646]
[1988136, 6175594]
[8235321, 1743145]
[1362978, 2656519]
[776479, 6663594]
[4151675, 2556225]
[5901260, 1870470]
[5879730, 1359905]
[7612091, 841911]
[4178268, 2204572]
[5883172, 8174379]
[3716983, 8224907]
[1052394, 8439189]
[8945288, 1532871]
[6484470, 6012753]
[2156416, 3143050]
[609234, 619944]
[7838806, 2345998]
[1565714, 9562930]
[9722497, 3689319]
[8696397, 7383631]
[3444842, 6439941]
[5190119, 1142396]
[8276478, 7544006]
[1569178, 8376567]
[7006444, 5533579]
[1646286, 6270023]
[8369858, 4137534]
[5514587, 1065975]
[2387627, 7212965]
[1946485, 588711]
[6927485, 6699797]
[2989313, 3276479]
[6516000, 8554423]
[2170640, 7003324]
[7651101, 5923213]
[5993800, 3543085]
[2936167, 5621710]
[697907, 9070428]
[8244344, 2633669]
[7164694, 3891225]
[169215, 541422]
[1866807, 3616329]
[8181294, 2011904]
[6955674, 4512302]
[1825925, 1032857]
[8936427, 9495669]
[1213850, 8490663]
[3480861, 44221]
[6633112, 7502551]
[7103551, 9555446]
[6916142, 8848076]
[3192791, 6148748]
[4575771, 9632829]
[2756389, 8596456]
[1353285, 3984537]
[5144328, 3395275]
[8592949, 3997920]
[6578179, 412509]
[2686158, 3613130]
[2619838, 6402386]
[6685414, 7528879]
[7193662, 8006698]
[146001, 1332309]
[8565786, 8650519]
[310881, 3644350]
[2552158, 1913137]
[9369752, 2697447]
[3303978, 6290494]
[9226223, 3296939]
[551155, 7065650]
[8063402, 1956131]
[7090802, 944107]
[5475665, 4444827]
[8161489, 6519454]
[4821954, 8169690]
[5734930, 2607500]
[6678099, 3605671]
[2905344, 7448276]
[8719493, 4358795]
[5799913, 4605542]
[2899703, 2104884]
[2154672, 7091741]
[7990, 820879]
[4474773, 8891243]
[6507946, 7508004]
[3082970, 1514039]
[8752785, 8759890]
[2233152, 7276661]
[2203965, 5633259]
[3089117, 2564099]
[8361347, 3173629]
[4651534, 3424895]
[7321944, 6351770]
[4084754, 5864058]
[990931, 1131843]
[2425775, 3244513]
[2041392, 4245651]
[8590923, 135296]
[4880556, 1061758]
[4654009, 9613974]
[6663696, 3520847]
[4773513, 1808697]
[6697156, 9443850]
[5131008, 3480684]
[908482, 7962700]
[6394440, 3283301]
[1937883, 405353]
[7661155, 2936509]
[7516929, 4638389]
[5175455, 3480466]
[1248311, 9783772]
[1904802, 9233371]
[8477432, 9981894]
[2449181, 6225138]
[625391, 9540249]
[4830275, 2009701]
[9595709, 9423698]
[4576505, 1672698]
[7274462, 2509723]
[6043843, 8261117]
[5803416, 2913928]
[3025039, 8354298]
[5917617, 9731791]
[2595096, 8177099]
[365067, 3157430]
[4556519, 582534]
[9019748, 7116718]
[5881912, 7762857]
[9874736, 1525806]
[3391556, 298427]
[3676587, 6314147]
[3652505, 1686048]
[5733647, 8561949]
[1797771, 8652497]
[2111672, 3110320]
[9412846, 7937120]
[527242, 8886025]
[5713924, 7787275]
[5780777, 5897538]
[7294295, 4576567]
[4427100, 8297553]
[3415431, 4427960]
[4157899, 4253767]
[421874, 1619520]
[1063712, 6101798]
[9698105, 2250461]
[110294, 2342622]
[4873775, 3535039]
[3950402, 4656217]
[6804143, 8230939]
[19098, 4960985]
[1556370, 8902089]
[5408440, 9269946]
[4076145, 7167095]
[2048128, 4994510]
[385573, 7944087]
[7608634, 8749242]
[7414359, 3587688]
[7738729, 8904363]
[8937393, 508715]
[3421164, 3030244]
[4851109, 1404903]
[4724887, 9220072]
[7392585, 7462882]
[823109, 6567095]
[5506413, 4238135]
[5561159, 795692]
[7883663, 9105830]
[8032778, 1044635]
[9239438, 9791416]
[8791684, 4008988]
[9769647, 4169900]
[9076529, 5839874]
[1840944, 6336846]
[8160397, 8862199]
[9962196, 937997]
[2884110, 4525204]
[6131673, 1980137]
[3002443, 432262]
[4311697, 1188527]
[8170462, 2755678]
[9410351, 6415104]
[2622064, 6894597]
[149309, 6117809]
[9916597, 2462719]
[1217752, 6796625]
[793091, 8245505]
[2399798, 5661832]
[8502058, 6252097]
[7378949, 1819083]
[3922090, 7220331]
[4646293, 3336567]
[6152488, 1420017]
[5004707, 4384906]
[2807505, 3821430]
[2064427, 7554686]
[1148327, 9160010]
[6706710, 2955415]
[4274558, 5974476]
[5175388, 245527]
[4587466, 4122175]
[982972, 1317181]
[9896478, 8955058]
[5353015, 3227710]
[7598471, 9346587]
[8178522, 588481]
[4477374, 2947589]
[1305022, 5138778]
[3853384, 2258220]
[5973537, 4016861]
[3077437, 5548212]
[6333947, 3625403]
[3912820, 2504629]
[4829758, 8507389]
[3338663, 3269959]
[168224, 4647835]
[1454672, 6122564]
[3717500, 825622]
[2153401, 7731444]
[43326, 7665560]
[565870, 2387972]
[7747682, 6484291]
[2072024, 3038872]
[9763804, 5058351]
[5724511, 3001084]
[7536801, 9768332]
[8346653, 1441349]
[3016873, 1033144]
[2407579, 7143239]
[7169641, 549127]
[4300262, 4275692]
[7437231, 7046738]
[5781428, 9810598]
[1344344, 3897379]
[8953059, 9923738]
[8052133, 9389993]
[7947263, 1569620]
[7939869, 5369631]
[9299503, 780858]
[4460683, 6101087]
[5741417, 1512540]
[606604, 5029338]
[6525705, 7994601]
[8904693, 8577096]
[4288906, 6669632]
[1458027, 3324352]
[9064401, 369506]
[3094597, 9105741]
[718170, 4301262]
[7119734, 1877731]
[7473896, 9961497]
[7232483, 6678549]
[1900883, 9507594]
[5829803, 1101049]
[2332060, 9830302]
[4160481, 6605920]
[6089183, 8427217]
[3790577, 2076651]
[9172296, 4059781]
[7161180, 4824012]
[8611644, 2191721]
[332600, 3786121]
[3341643, 4484814]
[1817524, 311409]
[6553472, 3503112]
[5210183, 7004308]
[7112253, 8421953]
[3122038, 4698343]
[6793925, 5947923]
[5310233, 3503583]
[2470257, 1217176]
[1080990, 4300113]
[9148729, 6640500]
[998708, 8961490]
[2679493, 1328451]
[2710367, 6896436]
[619884, 3174002]
[5015870, 6034864]
[3692952, 9345812]
[3787010, 5485680]
[1464853, 309297]
[6579479, 1476396]
[606414, 3099658]
[8486375, 3440148]
[5779373, 2291776]
[9070042, 1698442]
[376070, 3766330]
[5651995, 4479364]
[5985832, 6427979]
[3699150, 4822741]
[5949530, 2526680]
[9129980, 4047671]
[6670748, 4391155]
[2246086, 3734629]
[6476077, 494766]
[8545610, 8948206]
[2303904, 9915009]
[2995841, 9732935]
[6028227, 5720955]
[323220, 4936369]
[7817489, 1890373]
[7826426, 3823054]
[2517705, 7128125]
[6671276, 1308812]
[7803490, 4769373]
[8631031, 5390811]
[9623609, 4165786]
[1654230, 33017]
[654717, 1955151]
[3383007, 9555227]
[8818100, 9527782]
[5481579, 5040334]
[6222485, 4588153]
[5830705, 4871892]
[2299250, 9890904]
[8573371, 3740170]
[409326, 4403564]
[5073376, 3860893]
[4716132, 7615984]
[5520448, 8163604]
[8910837, 920896]
[3996756, 2633192]
[3417032, 4079182]
[860433, 2116876]
[9738561, 5691357]
[8044034, 9356432]
[7619618, 5802150]
[1032494, 542858]
[4642227, 9320106]
[4777820, 4807828]
[9368892, 4812444]
[6749095, 2818247]
[6849768, 9924430]
[1845832, 6850875]
[7091816, 2730741]
[6137348, 2262056]
[2198999, 9865630]
[9638187, 2360107]
[7961652, 2413702]
[4907427, 1235291]
[4875903, 6007946]
[5088874, 247177]
[6288570, 9640228]
[9493873, 3640577]
[8458707, 3707813]
[2135546, 5692752]
[9110299, 8442314]
[4588417, 9237743]
[9196965, 9367514]
[9400086, 6840273]
[9042308, 7089512]
[1403948, 6734155]
[2088163, 5737440]
[9636452, 4605730]
[3133828, 2278895]
[7698336, 5298359]
[6969217, 6168377]
[7021223, 5725992]
[8826750, 3851091]
[2742564, 5716587]
[1566846, 6821972]
[1926211, 4974934]
[9706504, 9361425]
[1183110, 7889500]
[2619268, 8753280]
[4550474, 8623473]
[3242285, 2558523]
[153728, 5081725]
[7062608, 636028]
[3980584, 7746506]
[6425105, 2423271]
[6859052, 9057517]
[4821797, 9238263]
[7890973, 1031364]
[4657803, 7175365]
[2526571, 336544]
[9256945, 579161]
[8246437, 8489848]
[9013886, 34672]
[4751616, 8944657]
[7692176, 8861192]
[307494, 6396180]
[7952257, 2700616]
[5266151, 3883975]
[2297213, 4781697]
[9385525, 2272893]
[4958461, 6957695]
[2011740, 7350000]
[5746145, 8362136]
[7544245, 1086173]
[4028902, 4390773]
[2925418, 5385394]
[1545160, 3284365]
[5289259, 1318005]
[4799636, 3785644]
[3862169, 2622575]
[4514543, 3199388]
[2482419, 2262705]
[7627839, 7126061]
[282826, 3331027]
[5453159, 712556]
[2033749, 6402850]
[8479731, 1073342]
[1591606, 6239605]
[3632633, 3936]
[1678250, 4636959]
[9709074, 6587050]
[9567883, 3277110]
[115862, 5747111]
[9744148, 605598]
[9938304, 3816345]
[8322809, 2752543]
[1689551, 9983474]
[6555795, 5196511]
[6722125, 5842652]
