There are 500 points in the set: 
[680427, 317350]
[4887052, 5743958]
[4833782, 6235961]
[3744908, 5983034]
[7328826, 2754300]
[9798735, 3562933]
[3567033, 862859]
[5340574, 7705467]
[3245527, 3886104]
[4523130, 9955872]
[9363244, 3606609]
[2142847, 7070023]
[8797649, 4559695]
[7590906, 8433083]
[9800589, 8177009]
[1522960, 8117567]
[9107745, 5475835]
[7115282, 4100742]
[5866812, 7736967]
[4859106, 3934420]
[2586632, 1500780]
[6517416, 816100]
[9739708, 4236010]
[8032803, 2363298]
[9359124, 9875735]
[561110, 5070394]
[2209192, 8229806]
[512296, 7142463]
[924437, 8826449]
[3952129, 7467591]
[95395, 756098]
[3194357, 3690634]
[3796941, 9500173]
[8461553, 3009047]
[6969486, 3024823]
[1377810, 7003999]
[1790899, 3562735]
[7700522, 6145510]
[5891834, 2794561]
[3476333, 6702619]
[4010165, 2413273]
[2788888, 5466004]
[1751855, 8723738]
[7529387, 4641237]
[2422589, 275455]
[5746404, 2234259]
[1693330, 4730688]
[9565933, 4792677]
[7970540, 1141600]
[4315359, 1212222]
[4320424, 7686009]
[3583503, 2417384]
[8095270, 9082567]
[5160834, 4788502]
[5368126, 9552384]
[6675546, 2274164]
[8685617, 1788403]
[3979127, 5936272]
[946699, 2597725]
[1101890, 1800231]
[5924292, 4022863]
[2440183, 6576625]
[1012240, 1524512]
[5782236, 4408766]
[8566994, 9933263]
[5657190, 6268035]
[6497563, 1037313]
[2293513, 3970545]
[5503573, 4168248]
[4493296, 3033670]
[9371972, 4880589]
[3574744, 3257632]
[4981374, 8525801]
[236102, 2176177]
[4170610, 644538]
[7478060, 2510999]
[3141759, 5979644]
[1863695, 3574297]
[7581743, 3064097]
[4762181, 6990790]
[9106099, 1762986]
[795107, 9394473]
[735281, 1965145]
[7678173, 7194801]
[2786084, 1940048]
[4817015, 878519]
[4068232, 8168439]
[8524076, 8634373]
[9610755, 6533310]
[4811353, 3954737]
[8182493, 7730660]
[7271611, 6804269]
[1434275, 5739362]
[3815251, 3238226]
[7800722, 6555324]
[8507428, 7976907]
[3901016, 9709708]
[7440236, 8529697]
[9181756, 1305014]
[1010088, 6957338]
[7780565, 2644889]
[6153777, 2281105]
[5217125, 8871335]
[7431603, 6764706]
[4616353, 9250312]
[9731906, 6688486]
[2077666, 632764]
[4689584, 4738691]
[9209236, 1539695]
[8968772, 9702392]
[1565478, 464094]
[3642372, 9999436]
[4458594, 4101279]
[2978741, 4508910]
[4034502, 5336932]
[3626867, 3707144]
[2181898, 2423870]
[2351127, 1909273]
[6227970, 9317476]
[3221982, 1195217]
[2217133, 3958581]
[6443423, 1839470]
[1361022, 927117]
[272622, 3164755]
[3837068, 1556652]
[9978371, 2960269]
[4973721, 6902799]
[3067605, 9390173]
[6883118, 5389496]
[1176677, 7599990]
[2462832, 1357601]
[9655201, 1523634]
[623313, 1802159]
[2184559, 2802617]
[1452426, 55610]
[706885, 9367104]
[8142136, 7977212]
[9229171, 1826199]
[589422, 6917207]
[6525841, 7223421]
[1953485, 9006254]
[2150977, 2254390]
[4585388, 9061233]
[6581534, 9240902]
[3430521, 2983390]
[4528242, 7355875]
[7791869, 5394496]
[7182767, 4112179]
[8179780, 738157]
[9831449, 5467211]
[3032667, 8337599]
[8960759, 7000971]
[5420809, 4412827]
[7849207, 7351065]
[7650860, 8717536]
[7382175, 1852217]
[796850, 7853285]
[6851993, 2356116]
[6102626, 2744322]
[7268920, 3201776]
[7320556, 169337]
[8943863, 5654056]
[6484349, 6557720]
[5152764, 6737974]
[5230517, 6339108]
[1787184, 460170]
[9064133, 1134497]
[3524837, 6871339]
[4486963, 8694279]
[4433887, 1823993]
[2055007, 9736707]
[203711, 6606229]
[1918989, 2116716]
[3805427, 4811937]
[923749, 8645961]
[542859, 7896709]
[2427585, 8195412]
[8761579, 9765051]
[2932340, 7292178]
[7535576, 4224854]
[3464773, 6926044]
[2045066, 7581563]
[9177774, 2986910]
[475205, 8028989]
[7541811, 9656910]
[9738883, 3677500]
[6628369, 7506393]
[9111594, 4165579]
[3294691, 2520266]
[6381600, 6933639]
[8538169, 118887]
[2582638, 1033321]
[2614316, 6691667]
[6614077, 8502063]
[4909760, 638303]
[981034, 1035455]
[9560065, 793397]
[4146765, 4220069]
[3667037, 246677]
[8438426, 6045655]
[7695547, 572543]
[1954861, 1515097]
[4053759, 5434598]
[5826206, 1640879]
[7746136, 2228807]
[2259228, 328052]
[4475612, 4194447]
[7282387, 2813736]
[5813536, 7431360]
[4136948, 4956397]
[9325924, 5340260]
[1058552, 5364777]
[5972173, 2142334]
[2518433, 7139160]
[3247366, 529589]
[1600561, 90713]
[3071011, 5284843]
[1613689, 4368561]
[9378705, 995389]
[8021421, 6011605]
[7298254, 7882032]
[1283442, 7674896]
[1257771, 8662857]
[1362521, 3085446]
[3112476, 325825]
[2064337, 9413199]
[5837060, 3500857]
[8760161, 7739217]
[6699012, 8885258]
[3555056, 2984128]
[1434855, 7104188]
[3866366, 6445217]
[8244182, 4017990]
[2805846, 6890258]
[9869340, 6715887]
[913709, 7649415]
[83895, 6124169]
[3795527, 4497890]
[4760134, 5277660]
[6997520, 2867464]
[9244617, 8493432]
[1225353, 9441973]
[2356861, 4390440]
[9796496, 8023899]
[4090545, 2880253]
[3134559, 4180557]
[1384115, 5733110]
[3747555, 2339106]
[3994327, 5244916]
[9898360, 4209481]
[7101292, 395180]
[9839624, 3108088]
[9690984, 7537239]
[6567968, 3486045]
[3884905, 8605438]
[6670715, 1101856]
[8288615, 9364606]
[5806715, 9535541]
[889138, 6973658]
[2271223, 4890989]
[9957962, 9003734]
[2493279, 3798221]
[7969755, 1381933]
[6603342, 4968687]
[6332925, 3672456]
[5243476, 533491]
[6378436, 6689660]
[5611912, 7581923]
[2259726, 1161738]
[3780222, 7195744]
[6619894, 4630355]
[6053467, 5948386]
[1278322, 5335003]
[5691932, 7518015]
[6609808, 6315580]
[6274853, 7487305]
[9456880, 4555125]
[6894359, 1909273]
[1688480, 2686371]
[3321688, 815641]
[970257, 7866783]
[1814914, 4454772]
[6972015, 1488614]
[4163939, 2820240]
[3526032, 958769]
[636225, 8655983]
[2870862, 1343055]
[8738055, 3598898]
[6548429, 2446741]
[1795467, 6812987]
[9736828, 3316556]
[9508685, 8984642]
[6742301, 8693721]
[5702134, 9436169]
[4962644, 1864604]
[7313137, 2222455]
[2335231, 9177315]
[9066709, 8078068]
[5958036, 2427306]
[1745482, 5186518]
[278228, 8643602]
[3957033, 6483166]
