options: {'left_index': True, 'order_results': True, 'rename_cols': {2: 'RI', 3: 'Na', 4: 'Mg', 5: 'Al', 6: 'Si', 7: 'K', 8: 'Ca', 9: 'Ba', 10: 'Fe'}, 'result_col': 11}
          RI     Na    Mg    Al     Si     K     Ca    Ba    Fe  result
0    1.52101  13.64  4.49  1.10  71.78  0.06   8.75  0.00  0.00       1
50   1.52320  13.72  3.72  0.51  71.75  0.09  10.06  0.00  0.16       1
49   1.51898  13.58  3.35  1.23  72.08  0.59   8.91  0.00  0.00       1
48   1.52223  13.21  3.77  0.79  71.99  0.13  10.02  0.00  0.00       1
47   1.52667  13.99  3.70  0.71  71.57  0.02   9.82  0.00  0.10       1
46   1.51869  13.19  3.37  1.18  72.72  0.57   8.83  0.00  0.16       1
45   1.51900  13.49  3.48  1.35  71.95  0.55   9.00  0.00  0.00       1
51   1.51926  13.20  3.33  1.28  72.36  0.60   9.14  0.00  0.11       1
44   1.51786  12.73  3.43  1.19  72.95  0.62   8.76  0.00  0.30       1
42   1.51779  13.21  3.39  1.33  72.76  0.59   8.59  0.00  0.00       1
41   1.51755  12.71  3.42  1.20  73.20  0.59   8.64  0.00  0.00       1
40   1.51793  12.79  3.50  1.12  73.03  0.64   8.77  0.00  0.00       1
39   1.52213  14.21  3.82  0.47  71.77  0.11   9.57  0.00  0.00       1
38   1.52213  14.21  3.82  0.47  71.77  0.11   9.57  0.00  0.00       1
37   1.51797  12.74  3.48  1.35  72.96  0.64   8.68  0.00  0.00       1
43   1.52210  13.73  3.84  0.72  71.76  0.17   9.74  0.00  0.00       1
36   1.51909  13.89  3.53  1.32  71.81  0.51   8.78  0.11  0.00       1
52   1.51808  13.43  2.87  1.19  72.84  0.55   9.03  0.00  0.00       1
55   1.51769  12.45  2.71  1.29  73.70  0.56   9.06  0.00  0.24       1
69   1.52300  13.31  3.58  0.82  71.99  0.12  10.17  0.00  0.03       1
68   1.52152  13.12  3.58  0.90  72.20  0.23   9.82  0.00  0.16       1
67   1.52152  13.05  3.65  0.87  72.32  0.19   9.85  0.00  0.17       1
66   1.52152  13.05  3.65  0.87  72.22  0.19   9.85  0.00  0.17       1
65   1.52099  13.69  3.59  1.12  71.96  0.09   9.40  0.00  0.00       1
64   1.52172  13.48  3.74  0.90  72.01  0.18   9.61  0.00  0.07       1
54   1.51778  13.21  2.81  1.29  72.98  0.51   9.02  0.00  0.09       1
63   1.52227  14.17  3.81  0.78  71.35  0.00   9.69  0.00  0.00       1
61   1.51977  13.81  3.58  1.32  71.72  0.12   8.67  0.69  0.00       1
60   1.51905  13.60  3.62  1.11  72.64  0.14   8.76  0.00  0.00       1
59   1.51754  13.39  3.66  1.19  72.79  0.57   8.27  0.00  0.11       1
..       ...    ...   ...   ...    ...   ...    ...   ...   ...     ...
180  1.51299  14.40  1.74  1.54  74.55  0.00   7.59  0.00  0.00       6
204  1.51617  14.95  0.00  2.27  73.30  0.00   8.71  0.67  0.00       7
201  1.51653  11.95  0.00  1.19  75.18  2.70   8.93  0.00  0.00       7
202  1.51514  14.85  0.00  2.42  73.72  0.00   8.39  0.56  0.00       7
203  1.51658  14.80  0.00  1.99  73.11  0.00   8.28  1.71  0.00       7
205  1.51732  14.95  0.00  1.80  72.99  0.00   8.61  1.55  0.00       7
200  1.51508  15.15  0.00  2.25  73.50  0.00   8.34  0.63  0.00       7
207  1.51831  14.39  0.00  1.82  72.86  1.41   6.47  2.88  0.00       7
208  1.51640  14.37  0.00  2.74  72.85  0.00   9.45  0.54  0.00       7
209  1.51623  14.14  0.00  2.88  72.61  0.08   9.18  1.06  0.00       7
210  1.51685  14.92  0.00  1.99  73.06  0.00   8.40  1.59  0.00       7
211  1.52065  14.36  0.00  2.02  73.42  0.00   8.44  1.64  0.00       7
206  1.51645  14.94  0.00  1.87  73.11  0.00   8.67  1.38  0.00       7
199  1.51609  15.01  0.00  2.51  73.05  0.05   8.83  0.53  0.00       7
212  1.51651  14.38  0.00  1.94  73.61  0.00   8.48  1.57  0.00       7
197  1.51727  14.70  0.00  2.34  73.28  0.00   8.95  0.66  0.00       7
196  1.51556  13.87  0.00  2.54  73.23  0.14   9.41  0.81  0.01       7
195  1.51545  14.14  0.00  2.68  73.39  0.08   9.07  0.61  0.05       7
194  1.51683  14.56  0.00  1.98  73.29  0.00   8.52  1.57  0.07       7
193  1.51719  14.75  0.00  2.00  73.02  0.00   8.53  1.59  0.08       7
192  1.51623  14.20  0.00  2.79  73.46  0.04   9.04  0.40  0.09       7
191  1.51602  14.85  0.00  2.38  73.28  0.00   8.76  0.64  0.09       7
190  1.51613  13.88  1.78  1.79  73.10  0.00   8.67  0.76  0.00       7
189  1.52365  15.79  1.83  1.31  70.43  0.31   8.61  1.68  0.00       7
188  1.52247  14.86  2.20  2.06  70.26  0.76   9.76  0.00  0.00       7
187  1.52315  13.44  3.34  1.23  72.38  0.60   8.83  0.00  0.00       7
186  1.51838  14.32  3.26  2.22  71.25  1.46   5.79  1.63  0.00       7
185  1.51131  13.69  3.20  1.81  72.81  1.76   5.43  1.19  0.00       7
198  1.51531  14.38  0.00  2.66  73.10  0.04   9.08  0.64  0.00       7
213  1.51711  14.23  0.00  2.08  73.36  0.00   8.62  1.67  0.00       7

[214 rows x 10 columns]
the tuning data set:
          RI     Na    Mg    Al     Si     K     Ca    Ba    Fe result
0   1.52101  13.64  4.49  1.10  71.78  0.06   8.75  0.00  0.00      1
1   1.52320  13.72  3.72  0.51  71.75  0.09  10.06  0.00  0.16      1
2   1.51793  12.79  3.50  1.12  73.03  0.64   8.77  0.00  0.00      1
3   1.51905  13.60  3.62  1.11  72.64  0.14   8.76  0.00  0.00      1
4   1.51571  12.72  3.46  1.56  73.20  0.67   8.09  0.00  0.24      1
5   1.51768  12.65  3.56  1.30  73.08  0.61   8.69  0.00  0.14      1
6   1.51750  12.82  3.55  1.49  72.75  0.54   8.52  0.00  0.19      1
7   1.51844  13.25  3.76  1.32  72.40  0.58   8.42  0.00  0.00      2
8   1.52664  11.23  0.00  0.77  73.21  0.00  14.68  0.00  0.00      2
9   1.51690  13.33  3.54  1.61  72.54  0.68   8.11  0.00  0.00      2
10  1.52177  13.75  1.01  1.36  72.19  0.33  11.14  0.00  0.00      2
11  1.51592  12.86  3.52  2.12  72.66  0.69   7.97  0.00  0.00      2
12  1.51574  14.86  3.67  1.74  71.87  0.16   7.36  0.00  0.12      2
13  1.51655  12.75  2.85  1.44  73.27  0.57   8.79  0.11  0.22      2
14  1.51841  12.93  3.74  1.11  72.28  0.64   8.96  0.00  0.22      2
15  1.51832  13.33  3.34  1.54  72.14  0.56   8.99  0.00  0.00      3
16  1.51665  13.14  3.45  1.76  72.48  0.60   8.38  0.00  0.17      3
17  1.52369  13.44  0.00  1.58  72.22  0.32  12.24  0.00  0.00      5
18  1.51299  14.40  1.74  1.54  74.55  0.00   7.59  0.00  0.00      6
19  1.51508  15.15  0.00  2.25  73.50  0.00   8.34  0.63  0.00      7
20  1.51685  14.92  0.00  1.99  73.06  0.00   8.40  1.59  0.00      7
21  1.51613  13.88  1.78  1.79  73.10  0.00   8.67  0.76  0.00      7
group 1:
         RI     Na    Mg    Al     Si     K     Ca    Ba    Fe result
0   1.51860  13.36  3.43  1.43  72.26  0.51   8.60  0.00  0.00      2
1   1.51735  13.02  3.54  1.69  72.73  0.54   8.44  0.00  0.07      1
2   1.51851  13.20  3.63  1.07  72.83  0.57   8.41  0.09  0.17      2
3   1.51567  13.29  3.45  1.21  72.74  0.56   8.57  0.00  0.00      1
4   1.51743  12.20  3.25  1.16  73.55  0.62   8.90  0.00  0.24      2
5   1.51593  13.09  3.59  1.52  73.10  0.67   7.83  0.00  0.00      2
6   1.51915  12.73  1.85  1.86  72.69  0.60  10.09  0.00  0.00      5
7   1.51316  13.02  0.00  3.04  70.48  6.21   6.96  0.00  0.00      5
8   1.51775  12.85  3.48  1.23  72.97  0.61   8.56  0.09  0.22      1
9   1.51898  13.58  3.35  1.23  72.08  0.59   8.91  0.00  0.00      1
10  1.52213  14.21  3.82  0.47  71.77  0.11   9.57  0.00  0.00      1
11  1.51783  12.69  3.54  1.34  72.95  0.57   8.75  0.00  0.00      1
12  1.51627  13.00  3.58  1.54  72.83  0.61   8.04  0.00  0.00      2
13  1.51640  12.55  3.48  1.87  73.23  0.63   8.08  0.00  0.09      2
14  1.51711  12.89  3.62  1.57  72.96  0.61   8.11  0.00  0.00      2
15  1.52211  14.19  3.78  0.91  71.36  0.23   9.14  0.00  0.37      3
16  1.51589  12.88  3.43  1.40  73.28  0.69   8.05  0.00  0.24      1
17  1.52020  13.98  1.35  1.63  71.76  0.39  10.56  0.00  0.18      2
18  1.52365  15.79  1.83  1.31  70.43  0.31   8.61  1.68  0.00      7
19  1.52127  14.32  3.90  0.83  71.50  0.00   9.49  0.00  0.00      3
20  1.51769  12.45  2.71  1.29  73.70  0.56   9.06  0.00  0.24      1
21  1.52177  13.20  3.68  1.15  72.75  0.54   8.52  0.00  0.00      2
22  1.51764  12.98  3.54  1.21  73.00  0.65   8.53  0.00  0.00      1
23  1.52099  13.69  3.59  1.12  71.96  0.09   9.40  0.00  0.00      1
24  1.51730  12.35  2.72  1.63  72.87  0.70   9.23  0.00  0.00      2
25  1.51937  13.79  2.41  1.19  72.76  0.00   9.77  0.00  0.00      6
26  1.52777  12.64  0.00  0.67  72.02  0.06  14.40  0.00  0.00      2
27  1.52739  11.02  0.00  0.75  73.08  0.00  14.96  0.00  0.00      2
28  1.51926  13.20  3.33  1.28  72.36  0.60   9.14  0.00  0.11      1
29  1.51645  14.94  0.00  1.87  73.11  0.00   8.67  1.38  0.00      7
30  1.51596  12.79  3.61  1.62  72.97  0.64   8.07  0.00  0.26      1
31  1.51594  13.09  3.52  1.55  72.87  0.68   8.05  0.00  0.09      2
32  1.51969  14.56  0.00  0.56  73.48  0.00  11.22  0.00  0.00      6
33  1.51789  13.19  3.90  1.30  72.33  0.55   8.44  0.00  0.28      2
34  1.51732  14.95  0.00  1.80  72.99  0.00   8.61  1.55  0.00      7
35  1.51531  14.38  0.00  2.66  73.10  0.04   9.08  0.64  0.00      7
36  1.51694  12.86  3.58  1.31  72.61  0.61   8.79  0.00  0.00      3
37  1.51754  13.39  3.66  1.19  72.79  0.57   8.27  0.00  0.11      1
38  1.51545  14.14  0.00  2.68  73.39  0.08   9.07  0.61  0.05      7
group 2:
         RI     Na    Mg    Al     Si     K     Ca    Ba    Fe result
0   1.51742  13.27  3.62  1.24  73.08  0.55   8.07  0.00  0.00      1
1   1.51683  14.56  0.00  1.98  73.29  0.00   8.52  1.57  0.07      7
2   1.51711  14.23  0.00  2.08  73.36  0.00   8.62  1.67  0.00      7
3   1.51797  12.74  3.48  1.35  72.96  0.64   8.68  0.00  0.00      1
4   1.52247  14.86  2.20  2.06  70.26  0.76   9.76  0.00  0.00      7
5   1.51707  13.48  3.48  1.71  72.52  0.62   7.99  0.00  0.00      2
6   1.51911  13.90  3.73  1.18  72.12  0.06   8.89  0.00  0.00      1
7   1.52121  14.03  3.76  0.58  71.79  0.11   9.65  0.00  0.00      3
8   1.51514  14.01  2.68  3.50  69.89  1.68   5.87  2.20  0.00      5
9   1.51629  12.71  3.33  1.49  73.28  0.67   8.24  0.00  0.00      2
10  1.51721  12.87  3.48  1.33  73.04  0.56   8.43  0.00  0.00      1
11  1.51655  13.41  3.39  1.28  72.64  0.52   8.65  0.00  0.00      3
12  1.51763  12.80  3.66  1.27  73.01  0.60   8.56  0.00  0.00      1
13  1.51643  12.16  3.52  1.35  72.89  0.57   8.53  0.00  0.00      3
14  1.51969  12.64  0.00  1.65  73.75  0.38  11.53  0.00  0.00      5
15  1.52172  13.48  3.74  0.90  72.01  0.18   9.61  0.00  0.07      1
16  1.52222  14.43  0.00  1.00  72.67  0.10  11.52  0.00  0.08      2
17  1.51646  13.41  3.55  1.25  72.81  0.68   8.10  0.00  0.00      2
18  1.51617  14.95  0.00  2.27  73.30  0.00   8.71  0.67  0.00      7
19  1.51831  14.39  0.00  1.82  72.86  1.41   6.47  2.88  0.00      7
20  1.51609  15.01  0.00  2.51  73.05  0.05   8.83  0.53  0.00      7
21  1.51829  13.24  3.90  1.41  72.33  0.55   8.31  0.00  0.10      2
22  1.51848  13.64  3.87  1.27  71.96  0.54   8.32  0.00  0.32      2
23  1.52223  13.21  3.77  0.79  71.99  0.13  10.02  0.00  0.00      1
24  1.51786  12.73  3.43  1.19  72.95  0.62   8.76  0.00  0.30      1
25  1.52300  13.31  3.58  0.82  71.99  0.12  10.17  0.00  0.03      1
26  1.51888  14.99  0.78  1.74  72.50  0.00   9.95  0.00  0.00      6
27  1.51321  13.00  0.00  3.02  70.70  6.21   6.93  0.00  0.00      5
28  1.52475  11.45  0.00  1.88  72.19  0.81  13.24  0.00  0.34      2
29  1.51811  13.33  3.85  1.25  72.78  0.52   8.12  0.00  0.00      2
30  1.51818  13.72  0.00  0.56  74.45  0.00  10.99  0.00  0.00      2
31  1.51645  13.44  3.61  1.54  72.39  0.66   8.03  0.00  0.00      2
32  1.51743  13.30  3.60  1.14  73.09  0.58   8.17  0.00  0.00      1
33  1.51754  13.48  3.74  1.17  72.99  0.59   8.03  0.00  0.00      1
34  1.51837  13.14  2.84  1.28  72.85  0.55   9.07  0.00  0.00      1
35  1.51674  12.87  3.56  1.64  73.14  0.65   7.99  0.00  0.00      2
36  1.51667  12.94  3.61  1.26  72.75  0.56   8.60  0.00  0.00      2
37  1.51811  12.96  2.96  1.43  72.92  0.60   8.79  0.14  0.00      2
38  1.51747  12.84  3.50  1.14  73.27  0.56   8.55  0.00  0.00      1
group 3:
         RI     Na    Mg    Al     Si     K     Ca    Ba    Fe result
