options: {'rename_cols': {1: 'vendor', 2: 'model', 3: 'MYCT', 4: 'MMIN', 5: 'MMAX', 6: 'CACH', 7: 'CHMIN', 8: 'CHMAX', 9: 'PRP'}, 'result_col': 10, 'drop_columns': ['model', 'PRP']}
        vendor  MYCT   MMIN   MMAX  CACH  CHMIN  CHMAX  result
0      adviser   125    256   6000   256     16    128     199
1       amdahl    29   8000  32000    32      8     32     253
2       amdahl    29   8000  32000    32      8     32     253
3       amdahl    29   8000  32000    32      8     32     253
4       amdahl    29   8000  16000    32      8     16     132
5       amdahl    26   8000  32000    64      8     32     290
6       amdahl    23  16000  32000    64     16     32     381
7       amdahl    23  16000  32000    64     16     32     381
8       amdahl    23  16000  64000    64     16     32     749
9       amdahl    23  32000  64000   128     32     64    1238
10      apollo   400   1000   3000     0      1      2      23
11      apollo   400    512   3500     4      1      6      24
12        basf    60   2000   8000    65      1      8      70
13        basf    50   4000  16000    65      1      8     117
14         bti   350     64     64     0      1      4      15
15         bti   200    512  16000     0      4     32      64
16   burroughs   167    524   2000     8      4     15      23
17   burroughs   143    512   5000     0      7     32      29
18   burroughs   143   1000   2000     0      5     16      22
19   burroughs   110   5000   5000   142      8     64     124
20   burroughs   143   1500   6300     0      5     32      35
21   burroughs   143   3100   6200     0      5     20      39
22   burroughs   143   2300   6200     0      6     64      40
23   burroughs   110   3100   6200     0      6     64      45
24       c.r.d   320    128   6000     0      1     12      28
25       c.r.d   320    512   2000     4      1      3      21
26       c.r.d   320    256   6000     0      1      6      28
27       c.r.d   320    256   3000     4      1      3      22
28       c.r.d   320    512   5000     4      1      5      28
29       c.r.d   320    256   5000     4      1      6      27
..         ...   ...    ...    ...   ...    ...    ...     ...
179      prime   160   1000   8000    16      1     14      43
180      prime   160   2000   8000    32      1     13      53
181    siemens   240    512   1000     8      1      3      19
182    siemens   240    512   2000     8      1      5      22
183    siemens   105   2000   4000     8      3      8      31
184    siemens   105   2000   6000    16      6     16      41
185    siemens   105   2000   8000    16      4     14      47
186    siemens    52   4000  16000    32      4     12      99
187    siemens    70   4000  12000     8      6      8      67
188    siemens    59   4000  12000    32      6     12      81
189    siemens    59   8000  16000    64     12     24     149
190    siemens    26   8000  24000    32      8     16     183
191    siemens    26   8000  32000    64     12     16     275
192    siemens    26   8000  32000   128     24     32     382
193     sperry   116   2000   8000    32      5     28      56
194     sperry    50   2000  32000    24      6     26     182
195     sperry    50   2000  32000    48     26     52     227
196     sperry    50   2000  32000   112     52    104     341
197     sperry    50   4000  32000   112     52    104     360
198     sperry    30   8000  64000    96     12    176     919
199     sperry    30   8000  64000   128     12    176     978
200     sperry   180    262   4000     0      1      3      24
201     sperry   180    512   4000     0      1      3      24
202     sperry   180    262   4000     0      1      3      24
203     sperry   180    512   4000     0      1      3      24
204     sperry   124   1000   8000     0      1      8      37
205     sperry    98   1000   8000    32      2      8      50
206     sratus   125   2000   8000     0      2     14      41
207       wang   480    512   8000    32      0      0      47
208       wang   480   1000   4000     0      0      0      25

[209 rows x 8 columns]
group 1:
          vendor  MYCT   MMIN   MMAX CACH CHMIN CHMAX result
0        siemens    59   8000  16000   64    12    24    149
1      honeywell   330   1000   4000    0     3     6     25
2            ncr    56   4000   8000    0     1     8     47
3     four-phase   125    512   1000    0     8    20     19
4         amdahl    29   8000  32000   32     8    32    253
5          c.r.d   320    512   5000    4     1     5     28
6         harris   300    192    768    6     6    24     18
7            ibm   400   4000   8000    0     1     1     45
8         harris   300    768   3000    0     6    24     23
9            ibm  1500    768   2000    0     0     0     20
10     honeywell   140   2000   8000   32     1    54     57
11           nas    30  16000  32000  256    16    24    603
12        sratus   125   2000   8000    0     2    14     41
13     burroughs   110   3100   6200    0     6    64     45
14           nas    40   8000  32000   64     8    24    266
15           ibm   225   2000   4000    8     3     6     31
16        sperry   180    512   4000    0     1     3     24
17      magnuson    50   2000  16000   12     3    16     80
18       siemens   105   2000   6000   16     6    16     41
19        amdahl    23  16000  32000   64    16    32    381
20           ipl    50   2000  16000   24     1     6     82
21           cdc    56   5240  20970   30    12    24    138
22            dg   220   1000   8000   16     1     2     42
23           ibm    26  16000  32000   64    16    24    361
24  perkin-elmer   250    512   4000    0     1     7     24
25           ibm   115    512   6000   16     1     6     35
26         prime   160   1000   4000    8     1    14     29
27           nas    60   2000  16000   64     5     8    107
28        cambex    50   1000   4000    8     3     5     30
29           dec   133   1000   8000    9     3    12     41
30          basf    60   2000   8000   65     1     8     70
31            hp   105    256   2000    0     3    10     20
32        sperry    50   2000  32000   48    26    52    227
33           ncr    38   8000  16000   64     4     8    142
34            dg   700    256   2000    0     1     1     19
35     burroughs   143    512   5000    0     7    32     29
36           ibm   225   1000   4000    2     3     6     26
37           nas   115   2000   4000    2     1     5     29
group 2:
          vendor  MYCT   MMIN   MMAX CACH CHMIN CHMAX result
0            ibm    25   2000  12000    8     1     4     59
1          c.r.d   320    256   5000    4     1     6     27
2      honeywell   140   2000   4000    0     3     6     28
3         sperry   180    262   4000    0     1     3     24
4            cdc    64   5240  20970   30    12    24    136
5      formation   800    256   8000    0     1     4     34
6            nas    35   8000  32000   64     8    24    270
7      honeywell   140   2000  32000   32     1    54    181
8        siemens    26   8000  32000   64    12    16    275
9           wang   480    512   8000   32     0     0     47
