options: {'missing_attributes': 'drop', 'left_index': True, 'normalize_cols': {2: 'clump_thickness', 3: 'cell_size_uniformity', 4: 'cell_size_shape', 5: 'marginal_adhesion', 6: 'single_epithesial_cell_size', 7: 'bare_nuclei', 8: 'bland_chromatin', 9: 'normal_nucleoti', 10: 'mitoses'}, 'result_col': 11, 'order_results': True}
     clump_thickness  cell_size_uniformity  cell_size_shape  marginal_adhesion  single_epithesial_cell_size  bare_nuclei  bland_chromatin  normal_nucleoti   mitoses  result
0          -0.111111             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -0.555556        -1.000000 -1.000000       2
427        -1.000000             -1.000000        -1.000000          -0.555556                    -0.777778    -0.555556        -1.000000        -1.000000 -1.000000       2
428        -1.000000             -1.000000        -1.000000          -1.000000                    -0.777778    -0.777778        -1.000000        -1.000000 -1.000000       2
429        -0.111111             -1.000000        -1.000000           0.111111                    -0.555556    -1.000000        -0.777778        -1.000000 -1.000000       2
430        -0.777778             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
431        -1.000000             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
432        -0.111111             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
426        -0.111111             -0.777778        -0.777778          -0.333333                    -0.777778    -0.333333        -1.000000        -1.000000 -1.000000       2
433        -1.000000             -1.000000        -1.000000          -1.000000                    -1.000000    -1.000000        -1.000000        -1.000000 -1.000000       2
436        -0.111111             -1.000000        -1.000000          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
437        -0.555556             -1.000000        -1.000000          -0.555556                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
439        -0.777778             -0.555556        -1.000000          -1.000000                    -0.555556    -1.000000        -1.000000        -1.000000 -1.000000       2
443        -0.111111             -1.000000        -0.777778          -1.000000                    -0.777778    -1.000000        -1.000000        -1.000000 -1.000000       2
