options: {'value_encode': {1: {'n': -1, '?': 0, 'y': 1}, 2: {'n': -1, '?': 0, 'y': 1}, 3: {'n': -1, '?': 0, 'y': 1}, 4: {'n': -1, '?': 0, 'y': 1}, 5: {'n': -1, '?': 0, 'y': 1}, 6: {'n': -1, '?': 0, 'y': 1}, 7: {'n': -1, '?': 0, 'y': 1}, 8: {'n': -1, '?': 0, 'y': 1}, 9: {'n': -1, '?': 0, 'y': 1}, 10: {'n': -1, '?': 0, 'y': 1}, 11: {'n': -1, '?': 0, 'y': 1}, 12: {'n': -1, '?': 0, 'y': 1}, 13: {'n': -1, '?': 0, 'y': 1}, 14: {'n': -1, '?': 0, 'y': 1}, 15: {'n': -1, '?': 0, 'y': 1}, 16: {'n': -1, '?': 0, 'y': 1}}, 'normalize_cols': {2: 'handicapped-infants', 3: 'water-project-cost-sharing', 4: 'adoption-of-the-budget-resolution', 5: 'physician-fee-freeze', 6: 'el-salvador-aid', 7: 'religious-groups-in-schools', 8: 'anti-satellite-test-ban', 9: 'aid-to-nicaraguan-contras', 10: 'mx-missile', 11: 'immigration', 12: 'synfuels-corporation-cutback', 13: 'education-spending', 14: 'superfund-right-to-sue', 15: 'crime', 16: 'duty-free-exports', 17: 'export-administration-act-south-africa'}, 'result_col': 1, 'order_results': True}
     handicapped-infants  water-project-cost-sharing  adoption-of-the-budget-resolution  physician-fee-freeze  el-salvador-aid  religious-groups-in-schools  anti-satellite-test-ban  aid-to-nicaraguan-contras  mx-missile  immigration  synfuels-corporation-cutback  education-spending  superfund-right-to-sue  crime  duty-free-exports  export-administration-act-south-africa      result
370                  1.0                         1.0                                1.0                  -1.0              0.0                          1.0                      1.0                        1.0        -1.0          1.0                           0.0                 0.0                    -1.0   -1.0                1.0                                     1.0    democrat
200                 -1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0         -1.0                          -1.0                -1.0                    -1.0    1.0                1.0                                     1.0    democrat
199                  1.0                         1.0                               -1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         0.0         -1.0                           1.0                -1.0                    -1.0   -1.0                1.0                                     0.0    democrat
198                 -1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0          1.0                           1.0                -1.0                     0.0   -1.0                1.0                                     0.0    democrat
196                 -1.0                        -1.0                                1.0                  -1.0             -1.0                          1.0                      1.0                        1.0         1.0         -1.0                           1.0                 1.0                    -1.0    1.0                1.0                                     0.0    democrat
360                  1.0                        -1.0                                1.0                  -1.0             -1.0                          1.0                      1.0                        1.0         1.0          1.0                          -1.0                -1.0                     1.0   -1.0               -1.0                                     1.0    democrat
194                 -1.0                        -1.0                                1.0                  -1.0             -1.0                          1.0                      1.0                        0.0         1.0          1.0                           1.0                -1.0                    -1.0   -1.0                1.0                                     1.0    democrat
201                  1.0                         1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0         -1.0                          -1.0                -1.0                    -1.0   -1.0                1.0                                     1.0    democrat
193                 -1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0         -1.0                          -1.0                -1.0                    -1.0   -1.0                1.0                                     1.0    democrat
361                  1.0                        -1.0                                1.0                  -1.0              1.0                          1.0                      1.0                       -1.0         1.0          1.0                          -1.0                -1.0                     1.0    1.0               -1.0                                     0.0    democrat
362                  1.0                         1.0                                1.0                  -1.0             -1.0                          1.0                      1.0                        1.0         1.0          1.0                           1.0                 1.0                     1.0   -1.0               -1.0                                     1.0    democrat
189                  1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0         -1.0                          -1.0                -1.0                    -1.0   -1.0                1.0                                     1.0    democrat
187                  1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0         -1.0                          -1.0                -1.0                    -1.0   -1.0                1.0                                     0.0    democrat
186                 -1.0                         1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0          1.0                           1.0                -1.0                    -1.0   -1.0                1.0                                     1.0    democrat
185                  1.0                        -1.0                                1.0                  -1.0             -1.0                         -1.0                      1.0                        1.0         1.0          1.0                          -1.0                 0.0                    -1.0   -1.0                1.0                                     1.0    democrat
