options: {'left_index': False, 'headers': True, 'value_encode': {2: {'jan': 1, 'feb': 2, 'mar': 3, 'apr': 4, 'may': 5, 'jun': 6, 'jul': 7, 'aug': 8, 'sep': 9, 'oct': 10, 'nov': 11, 'dec': 12}, 3: {'mon': 1, 'tue': 2, 'wed': 3, 'thu': 4, 'fri': 5, 'sat': 6, 'sun': 7}}, 'normalize_cols': {1: 'x_loc', 2: 'y_loc', 3: 'month', 4: 'day', 5: 'FFMC', 6: 'DMC', 7: 'DC', 8: 'ISI', 9: 'Temp', 10: 'RH', 11: 'wind', 12: 'rain'}, 'result_col': 13}
     x_loc     y_loc     month       day      FFMC       DMC        DC       ISI      Temp        RH      wind    rain  result
0     0.50 -0.142857 -0.636364  0.333333  0.741935 -0.827016 -0.797350 -0.818182 -0.614148 -0.152941  0.400000 -1.0000    0.00
1     0.50 -0.428571  0.636364 -0.666667  0.855484 -0.763611  0.550839 -0.761141  0.016077 -0.576471 -0.888889 -1.0000    0.00
2     0.50 -0.428571  0.636364  0.666667  0.855484 -0.706409  0.592588 -0.761141 -0.202572 -0.576471 -0.800000 -1.0000    0.00
3     0.75  0.142857 -0.636364  0.333333  0.883871 -0.778084 -0.836754 -0.679144 -0.607717  0.929412 -0.200000 -0.9375    0.00
4     0.75  0.142857 -0.636364  1.000000  0.821935 -0.654032 -0.778820 -0.657754 -0.408360  0.976471 -0.688889 -1.0000    0.00
5     0.75  0.142857  0.272727  1.000000  0.899355 -0.419711  0.126070 -0.475936  0.286174 -0.670588  0.111111 -1.0000    0.00
6     0.75  0.142857  0.272727 -1.000000  0.899355 -0.394900  0.143896 -0.696970  0.408360 -0.717647 -0.400000 -1.0000    0.00
7     0.75  0.142857  0.272727 -1.000000  0.878710 -0.005513  0.407998 -0.618538 -0.627010  0.670588 -0.600000 -1.0000    0.00
8     0.75  0.142857  0.454545 -0.666667  0.865806 -0.115093  0.605958 -0.750446 -0.299035  0.129412  0.111111 -1.0000    0.00
9     0.50 -0.142857  0.454545  0.666667  0.904516 -0.401103  0.620030 -0.746881  0.324759 -0.411765 -0.200000 -1.0000    0.00
10    0.50 -0.142857  0.454545  0.666667  0.904516 -0.401103  0.620030 -0.746881  0.003215 -0.152941  0.511111 -1.0000    0.00
11    0.50 -0.142857  0.454545  0.666667  0.912258 -0.503101  0.653806 -0.194296  0.099678 -0.458824 -0.200000 -1.0000    0.00
12    0.25 -0.142857  0.272727  0.333333  0.156129 -0.519642  0.541926 -0.971480 -0.048232  0.341176  0.400000 -1.0000    0.00
13    0.25 -0.142857  0.454545 -1.000000  0.863226 -0.135768  0.591650 -0.750446  0.228296 -0.364706 -0.600000 -1.0000    0.00
14    0.25 -0.142857  0.454545 -0.333333  0.914839 -0.088904  0.622376 -0.672014  0.556270 -0.858824 -0.088889 -1.0000    0.00
15    0.25 -0.142857  0.454545  0.333333  0.925161 -0.034459  0.655917 -0.504456  0.331190 -0.317647  0.111111 -1.0000    0.00
16    0.00 -0.142857 -0.636364  0.666667  0.883871 -0.760855 -0.829014 -0.721925 -0.170418 -0.717647  0.111111 -1.0000    0.00
17    0.75 -0.142857  0.636364 -1.000000  0.708387 -0.781530  0.539346 -0.893048 -0.067524 -0.247059  0.000000 -1.0000    0.00
18    0.25 -0.428571 -0.636364 -0.333333  0.819355 -0.815300 -0.852469 -0.775401 -0.118971 -0.529412 -0.200000 -1.0000    0.00
19    0.25 -0.428571 -0.454545  0.666667  0.744516 -0.818746 -0.790782 -0.818182 -0.543408 -0.317647 -0.088889 -1.0000    0.00
20    0.25 -0.428571  0.454545 -0.666667  0.865806 -0.115093  0.605958 -0.750446  0.035370 -0.411765 -0.488889 -1.0000    0.00
21    0.00 -0.428571  0.454545 -1.000000  0.886452 -0.466575  0.680310 -0.672014  0.086817 -0.458824 -0.488889 -1.0000    0.00
22    0.50 -0.428571 -0.090909  1.000000  0.950968 -0.343901 -0.549431  1.000000  0.209003 -0.317647 -0.088889 -1.0000    0.00
23    0.50 -0.428571  0.272727  0.666667  0.845161 -0.243280  0.241937 -0.778966  0.112540 -0.341176  0.200000 -1.0000    0.00
24    0.50 -0.428571  0.272727  0.666667  0.930323 -0.046864  0.375161 -0.276292  0.382637 -0.600000  0.200000 -1.0000    0.00
25    0.50 -0.428571  0.272727  1.000000  0.876129 -0.026189  0.392049 -0.622103 -0.093248  0.058824  0.111111 -1.0000    0.00
26    0.50 -0.428571  0.454545  0.333333  0.901935 -0.195038  0.548258 -0.565062  0.080386 -0.552941  0.200000 -1.0000    0.00
27    0.50 -0.428571  0.454545 -1.000000  0.863226 -0.135768  0.591650 -0.750446  0.106109 -0.223529 -0.800000 -1.0000    0.00
28    0.25 -0.714286  0.454545  0.666667  0.927742 -0.005513  0.673508 -0.711230  0.800643 -0.788235 -0.488889 -1.0000    0.00
29    0.25 -0.714286  0.454545  1.000000  0.930323  0.021365  0.690395 -0.711230  0.324759 -0.435294 -0.288889 -1.0000    0.00
..     ...       ...       ...       ...       ...       ...       ...       ...       ...       ...       ...     ...     ...
487   0.00 -0.428571  0.272727 -0.666667  0.971613 -0.033770  0.402369 -0.368984  0.556270 -0.552941 -0.288889 -1.0000   16.40
488  -0.25 -0.428571  0.272727 -0.666667  0.971613 -0.033770  0.402369 -0.368984  0.106109  0.317647  0.600000 -1.0000   46.70
489  -0.25 -0.428571  0.272727 -0.333333  0.971613 -0.033770  0.402369 -0.368984  0.183280  0.011765 -0.800000 -1.0000    0.00
490  -0.25 -0.428571  0.272727 -0.333333  0.971613 -0.033770  0.402369 -0.368984  0.704180 -0.576471 -0.200000 -1.0000    0.00
491  -0.25 -0.428571  0.272727  0.000000  0.989677  0.039972  0.445291 -0.508021  0.942122 -0.858824 -0.088889 -1.0000    0.00
492  -1.00 -0.714286  0.272727  0.333333  0.992258  0.081323  0.467574 -0.597148  0.942122 -0.717647 -0.600000 -1.0000    0.00
493  -1.00 -0.714286  0.272727  0.333333  0.992258  0.081323  0.467574 -0.597148  0.627010 -0.670588 -0.088889 -1.0000   43.32
494   0.25  0.142857  0.272727  0.666667  0.994839  0.122674  0.489621 -0.500891  0.839228 -0.647059  0.000000 -1.0000    8.59
495   0.25  0.142857  0.272727 -1.000000  1.000000  0.201930  0.533716 -0.401070  0.395498 -0.364706 -0.600000 -1.0000    0.00
496  -0.25 -0.142857  0.272727 -1.000000  1.000000  0.201930  0.533716 -0.401070  0.954984 -0.741176 -0.400000 -1.0000    2.77
497  -0.50 -0.428571  0.272727 -0.666667  0.997419  0.240524  0.555764 -0.490196  0.935691 -0.717647 -0.600000 -1.0000   14.68
498   0.25 -0.142857  0.272727 -0.666667  0.997419  0.240524  0.555764 -0.490196  1.000000 -0.741176 -0.488889 -1.0000   40.54
499   0.50 -0.142857  0.272727 -0.666667  0.997419  0.240524  0.555764 -0.490196  0.614148  0.129412  0.000000  1.0000   10.82
500   0.75  0.142857  0.272727 -0.666667  0.997419  0.240524  0.555764 -0.490196  0.247588  0.176471  0.000000 -0.7500    0.00
501   0.50 -0.142857  0.272727 -0.666667  0.997419  0.240524  0.555764 -0.490196  0.247588  0.176471  0.000000 -0.7500    0.00
502  -0.25 -0.428571  0.272727 -0.666667  0.997419  0.240524  0.555764 -0.490196  0.189711  0.270588  0.000000 -0.8750    0.00
503  -0.75 -0.428571  0.272727 -0.333333  0.956129 -0.046864  0.597748 -0.286988  0.736334 -0.647059  0.000000 -1.0000    1.95
504  -0.25 -0.714286  0.272727 -0.333333  0.956129 -0.046864  0.597748 -0.286988  0.717042 -0.670588  0.000000 -1.0000   49.59
505  -1.00 -1.000000  0.272727  0.000000  0.865806  0.117161  0.727454 -0.639929  0.575563 -0.529412 -0.688889 -1.0000    5.80
506  -1.00 -1.000000  0.272727  0.333333  0.865806  0.142660  0.746687 -0.746881  0.048232  0.364706  0.800000 -1.0000    0.00
507  -0.75 -0.428571  0.272727  0.333333  0.865806  0.142660  0.746687 -0.746881  0.524116 -0.388235 -0.288889 -1.0000    0.00
508  -1.00 -1.000000  0.272727  0.333333  0.865806  0.142660  0.746687 -0.746881  0.524116 -0.388235 -0.288889 -1.0000    0.00
509   0.00 -0.428571  0.272727  0.333333  0.865806  0.142660  0.746687 -0.746881  0.215434  0.317647  0.600000 -0.5625    2.17
510   0.25 -0.142857  0.272727  0.333333  0.865806  0.142660  0.746687 -0.746881  0.028939  0.105882  0.111111 -1.0000    0.43
511   0.75  0.142857  0.272727  1.000000  0.623226 -0.616816  0.542629 -0.932264  0.646302 -0.529412 -0.488889 -1.0000    0.00
512  -0.25 -0.714286  0.272727  1.000000  0.623226 -0.616816  0.542629 -0.932264  0.646302 -0.600000 -0.488889 -1.0000    6.44
513  -0.75 -0.428571  0.272727  1.000000  0.623226 -0.616816  0.542629 -0.932264  0.266881  0.317647  0.200000 -1.0000   54.29
514   0.50 -0.428571  0.272727  1.000000  0.623226 -0.616816  0.542629 -0.932264  0.221865  0.294118  0.400000 -1.0000   11.16
515  -1.00 -0.428571  0.272727  0.666667  0.953548 -0.001378  0.423244 -0.597148  0.504823 -0.364706 -0.200000 -1.0000    0.00
516   0.25 -0.714286  0.818182 -0.666667  0.569032 -0.986906 -0.768266 -0.960784 -0.382637 -0.623529 -0.088889 -1.0000    0.00

[517 rows x 13 columns]
This is a regression set
the dataset is: 
[0.5, -0.1428571428571429, -0.6363636363636364, 0.33333333333333326, 0.7419354838709677, -0.8270158511371468, -0.797349595402838, -0.8181818181818182, -0.6141479099678457, -0.15294117647058825, 0.3999999999999999, -1.0, 0.0]
[0.5, -0.4285714285714286, 0.6363636363636365, -0.6666666666666667, 0.8554838709677417, -0.7636113025499656, 0.5508385129588367, -0.7611408199643493, 0.016077170418006492, -0.5764705882352941, -0.8888888888888888, -1.0, 0.0]
[0.5, -0.4285714285714286, 0.6363636363636365, 0.6666666666666667, 0.8554838709677417, -0.7064093728463129, 0.5925882490911223, -0.7611408199643493, -0.20257234726688111, -0.5764705882352941, -0.8, -1.0, 0.0]
[0.75, 0.1428571428571428, -0.6363636363636364, 0.33333333333333326, 0.8838709677419354, -0.7780840799448656, -0.8367538407411751, -0.679144385026738, -0.607717041800643, 0.9294117647058824, -0.19999999999999996, -0.9375, 0.0]
[0.75, 0.1428571428571428, -0.6363636363636364, 1.0, 0.8219354838709676, -0.6540317022742936, -0.7788202181306438, -0.6577540106951871, -0.40836012861736337, 0.9764705882352942, -0.6888888888888889, -1.0, 0.0]
[0.75, 0.1428571428571428, 0.2727272727272727, 1.0, 0.8993548387096773, -0.419710544452102, 0.12607013017473911, -0.47593582887700536, 0.2861736334405145, -0.6705882352941177, 0.11111111111111116, -1.0, 0.0]
[0.75, 0.1428571428571428, 0.2727272727272727, -1.0, 0.8993548387096773, -0.39490006891798746, 0.14389586020874878, -0.696969696969697, 0.4083601286173635, -0.7176470588235294, -0.3999999999999999, -1.0, 0.0]
[0.75, 0.1428571428571428, 0.2727272727272727, -1.0, 0.8787096774193548, -0.005513439007580834, 0.40799812360736487, -0.6185383244206775, -0.6270096463022508, 0.6705882352941177, -0.5999999999999999, -1.0, 0.0]
[0.75, 0.1428571428571428, 0.4545454545454546, -0.6666666666666667, 0.8658064516129031, -0.11509303928325287, 0.6059575466166296, -0.750445632798574, -0.2990353697749196, 0.12941176470588234, 0.11111111111111116, -1.0, 0.0]
[0.5, -0.1428571428571429, 0.4545454545454546, 0.6666666666666667, 0.9045161290322581, -0.40110268780151614, 0.6200304913803214, -0.7468805704099821, 0.32475884244373, -0.4117647058823529, -0.19999999999999996, -1.0, 0.0]
[0.5, -0.1428571428571429, 0.4545454545454546, 0.6666666666666667, 0.9045161290322581, -0.40110268780151614, 0.6200304913803214, -0.7468805704099821, 0.003215434083601476, -0.15294117647058825, 0.5111111111111111, -1.0, 0.0]
[0.5, -0.1428571428571429, 0.4545454545454546, 0.6666666666666667, 0.9122580645161289, -0.5031013094417642, 0.6538055588131817, -0.19429590017825304, 0.09967845659163999, -0.45882352941176474, -0.19999999999999996, -1.0, 0.0]
[0.25, -0.1428571428571429, 0.2727272727272727, 0.33333333333333326, 0.1561290322580644, -0.5196416264645072, 0.5419256479418317, -0.9714795008912656, -0.048231511254019144, 0.3411764705882352, 0.3999999999999999, -1.0, 0.0]
[0.25, -0.1428571428571429, 0.4545454545454546, -1.0, 0.863225806451613, -0.1357684355616815, 0.5916500527735429, -0.750445632798574, 0.22829581993569148, -0.3647058823529412, -0.5999999999999999, -1.0, 0.0]
[0.25, -0.1428571428571429, 0.4545454545454546, -0.33333333333333337, 0.9148387096774195, -0.08890420399724308, 0.62237598217427, -0.6720142602495545, 0.5562700964630225, -0.8588235294117648, -0.08888888888888902, -1.0, 0.0]
[0.25, -0.1428571428571429, 0.4545454545454546, 0.33333333333333326, 0.9251612903225805, -0.034458993797381154, 0.6559165005277354, -0.5044563279857397, 0.3311897106109325, -0.3176470588235294, 0.11111111111111116, -1.0, 0.0]
[0.0, -0.1428571428571429, -0.6363636363636364, 0.6666666666666667, 0.8838709677419354, -0.760854583046175, -0.8290137211211446, -0.7219251336898396, -0.17041800643086824, -0.7176470588235294, 0.11111111111111116, -1.0, 0.0]
[0.75, -0.1428571428571429, 0.6363636363636365, -1.0, 0.7083870967741936, -0.7815299793246038, 0.5393456080684884, -0.893048128342246, -0.067524115755627, -0.24705882352941178, 0.0, -1.0, 0.0]
[0.25, -0.4285714285714286, -0.6363636363636364, -0.33333333333333337, 0.8193548387096774, -0.8152997932460373, -0.8524686290606309, -0.7754010695187166, -0.11897106109324762, -0.5294117647058824, -0.19999999999999996, -1.0, 0.0]
[0.25, -0.4285714285714286, -0.4545454545454546, 0.6666666666666667, 0.744516129032258, -0.8187456926257753, -0.7907822211797819, -0.8181818181818182, -0.5434083601286173, -0.3176470588235294, -0.08888888888888902, -1.0, 0.0]
[0.25, -0.4285714285714286, 0.4545454545454546, -0.6666666666666667, 0.8658064516129031, -0.11509303928325287, 0.6059575466166296, -0.750445632798574, 0.03536977491961424, -0.4117647058823529, -0.4888888888888888, -1.0, 0.0]
[0.0, -0.4285714285714286, 0.4545454545454546, -1.0, 0.8864516129032256, -0.4665747760165403, 0.6803096047848012, -0.6720142602495545, 0.08681672025723497, -0.45882352941176474, -0.4888888888888888, -1.0, 0.0]
[0.5, -0.4285714285714286, -0.09090909090909094, 1.0, 0.9509677419354838, -0.34390075809786347, -0.5494312184824675, 1.0, 0.20900321543408373, -0.3176470588235294, -0.08888888888888902, -1.0, 0.0]
[0.5, -0.4285714285714286, 0.2727272727272727, 0.6666666666666667, 0.8451612903225807, -0.24328049620951053, 0.2419373753958014, -0.7789661319073083, 0.11254019292604522, -0.3411764705882353, 0.19999999999999996, -1.0, 0.0]
[0.5, -0.4285714285714286, 0.2727272727272727, 0.6666666666666667, 0.9303225806451612, -0.0468642315644382, 0.375161252492084, -0.2762923351158645, 0.38263665594855323, -0.6, 0.19999999999999996, -1.0, 0.0]
[0.5, -0.4285714285714286, 0.2727272727272727, 1.0, 0.8761290322580646, -0.02618883528600957, 0.392048786208514, -0.6221033868092691, -0.09324758842443714, 0.05882352941176472, 0.11111111111111116, -1.0, 0.0]
[0.5, -0.4285714285714286, 0.4545454545454546, 0.33333333333333326, 0.9019354838709679, -0.19503790489317696, 0.5482584730854931, -0.5650623885918005, 0.08038585209003224, -0.5529411764705883, 0.19999999999999996, -1.0, 0.0]
[0.5, -0.4285714285714286, 0.4545454545454546, -1.0, 0.863225806451613, -0.1357684355616815, 0.5916500527735429, -0.750445632798574, 0.1061093247588425, -0.22352941176470587, -0.8, -1.0, 0.0]
[0.25, -0.7142857142857143, 0.4545454545454546, 0.6666666666666667, 0.927741935483871, -0.005513439007580834, 0.6735076814823502, -0.7112299465240641, 0.8006430868167205, -0.788235294117647, -0.4888888888888888, -1.0, 0.0]
[0.25, -0.7142857142857143, 0.4545454545454546, 1.0, 0.9303225806451612, 0.02136457615437637, 0.6903952151987804, -0.7112299465240641, 0.32475884244373, -0.43529411764705883, -0.28888888888888886, -1.0, 0.0]
[0.25, -0.7142857142857143, 0.4545454545454546, 0.33333333333333326, 0.9509677419354838, -0.42108890420399725, 0.6052538993784449, -0.4331550802139037, 0.49196141479099675, -0.788235294117647, -0.28888888888888886, -1.0, 0.0]
[0.25, -0.7142857142857143, 0.4545454545454546, -1.0, 0.8038709677419353, -0.37491385251550646, 0.6465345373519409, -0.7468805704099821, -0.4212218649517685, 0.48235294117647065, 0.5999999999999999, -1.0, 0.0]
[0.25, -0.7142857142857143, 0.4545454545454546, 0.33333333333333326, 0.8038709677419353, -0.527222605099931, 0.6392635158907001, -0.7932263814616756, 0.18327974276527348, -0.48235294117647054, -0.6888888888888889, -1.0, 0.0]
[0.25, -0.7142857142857143, 0.4545454545454546, 1.0, 0.8838709677419354, -0.4865609924190214, 0.6662366600211094, -0.7219251336898396, -0.003215434083601254, -0.43529411764705883, -0.28888888888888886, -1.0, 0.0]
[0.25, -0.7142857142857143, 0.4545454545454546, -1.0, 0.8864516129032256, -0.4665747760165403, 0.6803096047848012, -0.6720142602495545, 0.22186495176848875, -0.6, -0.4888888888888888, -1.0, 0.0]
[0.25, -0.7142857142857143, 0.4545454545454546, -0.6666666666666667, 0.8477419354838709, -0.4514128187456925, 0.6941480004690983, -0.7754010695187166, 0.02893890675241173, 0.10588235294117654, -0.08888888888888902, -1.0, 0.0]
[0.25, -0.7142857142857143, 0.6363636363636365, -0.6666666666666667, 0.8554838709677417, -0.7636113025499656, 0.5508385129588367, -0.7611408199643493, 0.25401929260450173, -0.788235294117647, -0.08888888888888902, -1.0, 0.0]
[0.5, -0.4285714285714286, 0.6363636363636365, 0.33333333333333326, 0.8399999999999999, -0.7215713301171606, 0.5825026386771432, -0.6898395721925135, -0.41479099678456577, 0.05882352941176472, 0.11111111111111116, -1.0, 0.0]
[0.5, -0.7142857142857143, 0.6363636363636365, 0.6666666666666667, 0.8554838709677417, -0.7064093728463129, 0.5925882490911223, -0.7611408199643493, 0.003215434083601476, -0.7176470588235294, -0.19999999999999996, -1.0, 0.0]
[-0.25, -0.4285714285714286, -0.6363636363636364, -0.6666666666666667, 0.7909677419354837, -0.830461750516885, -0.8599741996012666, -0.8645276292335116, -0.23472668810289388, -0.3411764705882353, -0.4888888888888888, -1.0, 0.0]
[-0.25, -0.4285714285714286, 0.09090909090909083, -0.6666666666666667, 0.569032258064516, -0.5899379738111648, -0.15843790313123018, -0.946524064171123, 0.356913183279743, -0.48235294117647054, -0.3999999999999999, -1.0, 0.0]
